"CCAA","FECHA","CASOS","PCR.","TestAc.","Hospitalizados","UCI","Fallecidos"
"CN","18/3/2020",NA,220,NA,82,23,3
"CB","18/3/2020",NA,83,NA,40,4,1
"CM","18/3/2020",NA,801,NA,633,161,42
"CL","18/3/2020",NA,868,NA,362,63,29
"CT","18/3/2020",NA,2702,NA,825,118,53
"CE","18/3/2020",NA,1,NA,0,0,0
"VC","18/3/2020",NA,921,NA,647,85,24
"EX","18/3/2020",NA,241,NA,33,9,8
"GA","18/3/2020",NA,453,NA,100,24,4
"MD","18/3/2020",NA,11356,NA,4874,1011,498
"ML","18/3/2020",NA,23,NA,4,0,0
"MC","18/3/2020",NA,167,NA,36,6,0
"NC","18/3/2020",NA,482,NA,132,11,4
"PV","18/3/2020",NA,1190,NA,455,44,53
"RI","18/3/2020",NA,468,NA,121,15,5
"AN","19/3/2020",NA,1287,NA,501,38,30
"AR","19/3/2020",NA,360,NA,127,28,17
"AS","19/3/2020",NA,429,NA,129,13,4
"IB","19/3/2020",NA,203,NA,48,10,2
"CN","19/3/2020",NA,287,NA,115,25,4
"CB","19/3/2020",NA,144,NA,61,7,1
"CM","19/3/2020",NA,1044,NA,751,180,42
"CL","19/3/2020",NA,1147,NA,476,75,43
"CT","19/3/2020",NA,3270,NA,994,175,93
"CE","19/3/2020",NA,5,NA,0,0,0
"VC","19/3/2020",NA,1105,NA,777,101,33
"EX","19/3/2020",NA,297,NA,50,12,10
"GA","19/3/2020",NA,578,NA,138,34,5
"MD","19/3/2020",NA,13399,NA,6189,1196,628
"ML","19/3/2020",NA,24,NA,5,1,0
"MC","19/3/2020",NA,204,NA,47,11,0
"NC","19/3/2020",NA,554,NA,172,19,5
"PV","19/3/2020",NA,1465,NA,550,53,71
"RI","19/3/2020",NA,497,NA,122,15,7
"AN","20/3/2020",NA,1515,NA,605,53,40
"AR","20/3/2020",NA,424,NA,192,33,22
"AS","20/3/2020",NA,524,NA,155,18,7
"IB","20/3/2020",NA,246,NA,60,14,4
"CN","20/3/2020",NA,348,NA,139,29,7
"CB","20/3/2020",NA,215,NA,92,9,2
"CM","20/3/2020",NA,1423,NA,998,208,84
"CL","20/3/2020",NA,1466,NA,629,96,55
"CT","20/3/2020",NA,4203,NA,1681,271,143
"CE","20/3/2020",NA,5,NA,0,0,0
"VC","20/3/2020",NA,1363,NA,947,129,50
"EX","20/3/2020",NA,354,NA,67,13,12
"GA","20/3/2020",NA,739,NA,168,40,9
"MD","20/3/2020",NA,15722,NA,7535,1401,804
"ML","20/3/2020",NA,25,NA,8,1,0
"MC","20/3/2020",NA,240,NA,61,14,1
"NC","20/3/2020",NA,664,NA,222,25,9
"PV","20/3/2020",NA,1725,NA,654,71,85
"RI","20/3/2020",NA,564,NA,128,17,15
"AN","21/3/2020",NA,1725,NA,724,55,47
"AR","21/3/2020",NA,532,NA,241,45,24
"AS","21/3/2020",NA,569,NA,180,22,12
"IB","21/3/2020",NA,331,NA,79,14,4
"CN","21/3/2020",NA,414,NA,150,32,9
"CB","21/3/2020",NA,282,NA,116,9,5
"CM","21/3/2020",NA,1819,NA,1126,249,112
"CL","21/3/2020",NA,1744,NA,798,111,74
"CT","21/3/2020",NA,5046,NA,1917,290,182
"CE","21/3/2020",NA,5,NA,0,0,0
"VC","21/3/2020",NA,1604,NA,1136,152,69
"EX","21/3/2020",NA,384,NA,97,24,14
"GA","21/3/2020",NA,915,NA,227,50,12
"MD","21/3/2020",NA,17397,NA,9063,1532,1021
"ML","21/3/2020",NA,25,NA,12,1,0
"MC","21/3/2020",NA,296,NA,78,16,1
"NC","21/3/2020",NA,794,NA,288,30,14
"PV","21/3/2020",NA,2097,NA,988,81,97
"RI","21/3/2020",NA,654,NA,134,17,18
"AN","22/3/2020",NA,1961,NA,865,77,58
"AR","22/3/2020",NA,638,NA,298,52,32
"AS","22/3/2020",NA,621,NA,210,25,22
"IB","22/3/2020",NA,400,NA,87,27,10
"CN","22/3/2020",NA,481,NA,172,32,11
"CB","22/3/2020",NA,347,NA,157,14,6
"CM","22/3/2020",NA,2078,NA,1410,266,145
"CL","22/3/2020",NA,2055,NA,977,130,102
"CT","22/3/2020",NA,5747,NA,2158,308,199
"CE","22/3/2020",NA,6,NA,0,0,0
"VC","22/3/2020",NA,1901,NA,1311,181,94
"EX","22/3/2020",NA,493,NA,105,33,18
"GA","22/3/2020",NA,1208,NA,270,62,18
"MD","22/3/2020",NA,18900,NA,10771,1664,1263
"ML","22/3/2020",NA,28,NA,12,1,0
"MC","22/3/2020",NA,345,NA,80,23,2
"NC","22/3/2020",NA,886,NA,339,40,24
"PV","22/3/2020",NA,2421,NA,1252,92,120
"RI","22/3/2020",NA,747,NA,166,22,22
"AN","23/3/2020",NA,2470,NA,1132,102,87
"AR","23/3/2020",NA,758,NA,384,66,37
"AS","23/3/2020",NA,754,NA,251,29,26
"IB","23/3/2020",NA,478,NA,127,35,10
"CN","23/3/2020",NA,557,NA,207,36,16
"CB","23/3/2020",NA,425,NA,200,16,9
"CM","23/3/2020",NA,2465,NA,1751,306,216
"CL","23/3/2020",NA,2460,NA,1197,151,124
"CT","23/3/2020",NA,7864,NA,3209,471,293
"CE","23/3/2020",NA,6,NA,0,0,0
"VC","23/3/2020",NA,2167,NA,1562,222,115
"EX","23/3/2020",NA,636,NA,113,40,26
"GA","23/3/2020",NA,1415,NA,338,78,20
"MD","23/3/2020",NA,21569,NA,12053,1813,1535
"ML","23/3/2020",NA,28,NA,12,1,0
"MC","23/3/2020",NA,385,NA,99,26,3
"NC","23/3/2020",NA,1014,NA,405,45,31
"PV","23/3/2020",NA,2728,NA,1425,106,133
"RI","23/3/2020",NA,802,NA,206,24,30
"AN","24/3/2020",NA,3008,NA,1433,116,113
"AR","24/3/2020",NA,907,NA,459,75,40
"AS","24/3/2020",NA,812,NA,281,39,29
"IB","24/3/2020",NA,562,NA,164,40,13
"CN","24/3/2020",NA,657,NA,235,43,21
"CB","24/3/2020",NA,510,NA,241,18,14
"CM","24/3/2020",NA,2780,NA,1980,334,263
"CL","24/3/2020",NA,2940,NA,1457,179,165
"CT","24/3/2020",NA,9937,NA,4349,713,385
"CE","24/3/2020",NA,9,NA,2,1,0
"VC","24/3/2020",NA,2616,NA,1842,255,143
"EX","24/3/2020",NA,742,NA,217,48,39
"GA","24/3/2020",NA,1653,NA,412,100,27
"MD","24/3/2020",NA,24475,NA,13297,1962,1825
"ML","24/3/2020",NA,38,NA,14,2,0
"MC","24/3/2020",NA,477,NA,127,33,5
"NC","24/3/2020",NA,1197,NA,506,51,33
"PV","24/3/2020",NA,3271,NA,1577,119,155
"RI","24/3/2020",NA,928,NA,254,33,37
"AN","25/3/2020",NA,3404,NA,1626,134,134
"AR","25/3/2020",NA,1116,NA,562,93,48
"AS","25/3/2020",NA,891,NA,322,48,29
"IB","25/3/2020",NA,660,NA,205,43,17
"CN","25/3/2020",NA,784,NA,279,45,24
"CB","25/3/2020",NA,671,NA,300,26,17
"CM","25/3/2020",NA,3383,NA,2266,351,316
"CL","25/3/2020",NA,3488,NA,1823,198,206
"CT","25/3/2020",NA,11592,NA,5371,764,501
"CE","25/3/2020",NA,10,NA,2,2,0
"VC","25/3/2020",NA,3200,NA,2097,289,167
"EX","25/3/2020",NA,969,NA,291,52,58
"GA","25/3/2020",NA,1915,NA,503,107,32
"MD","25/3/2020",NA,27422,NA,15024,2117,2090
"ML","25/3/2020",NA,39,NA,16,2,1
"MC","25/3/2020",NA,596,NA,172,36,8
"NC","25/3/2020",NA,1411,NA,649,54,49
"PV","25/3/2020",NA,3946,NA,1907,137,180
"RI","25/3/2020",NA,995,NA,316,36,43
"AN","26/3/2020",NA,3790,NA,1843,148,144
"AR","26/3/2020",NA,1338,NA,693,114,58
"AS","26/3/2020",NA,960,NA,370,56,39
"IB","26/3/2020",NA,755,NA,237,46,22
"CN","26/3/2020",NA,878,NA,328,61,27
"CB","26/3/2020",NA,810,NA,355,29,21
"CM","26/3/2020",NA,3934,NA,2673,367,367
"CL","26/3/2020",NA,4132,NA,2214,215,252
"CT","26/3/2020",NA,12940,NA,6714,972,685
"CE","26/3/2020",NA,17,NA,2,2,0
"VC","26/3/2020",NA,3532,NA,2357,325,198
"EX","26/3/2020",NA,1231,NA,344,54,69
"GA","26/3/2020",NA,2322,NA,557,122,43
"MD","26/3/2020",NA,30796,NA,17093,2272,2412
"ML","26/3/2020",NA,42,NA,18,2,1
"MC","26/3/2020",NA,714,NA,209,53,15
"NC","26/3/2020",NA,1641,NA,732,75,58
"PV","26/3/2020",NA,4601,NA,2270,154,207
"RI","26/3/2020",NA,1236,NA,388,43,55
"AN","27/3/2020",NA,4271,NA,2106,172,175
"AR","27/3/2020",NA,1592,NA,835,124,93
"AS","27/3/2020",NA,1037,NA,427,59,44
"IB","27/3/2020",NA,862,NA,283,59,26
"CN","27/3/2020",NA,1025,NA,377,68,36
"CB","27/3/2020",NA,937,NA,406,37,22
"CM","27/3/2020",NA,4512,NA,3106,383,448
"CL","27/3/2020",NA,4791,NA,2648,238,321
"CT","27/3/2020",NA,14263,NA,7954,1036,827
"CE","27/3/2020",NA,17,NA,2,2,1
"VC","27/3/2020",NA,4034,NA,2606,348,234
"EX","27/3/2020",NA,1394,NA,406,58,88
"GA","27/3/2020",NA,2772,NA,906,141,47
"MD","27/3/2020",NA,33162,NA,19098,2369,2757
"ML","27/3/2020",NA,45,NA,22,2,1
"MC","27/3/2020",NA,802,NA,231,58,17
"NC","27/3/2020",NA,1829,NA,827,84,70
"PV","27/3/2020",NA,5136,NA,2612,176,241
"RI","27/3/2020",NA,1436,NA,458,43,65
"AN","28/3/2020",NA,4676,NA,2294,201,207
"AR","28/3/2020",NA,1858,NA,835,145,104
"AS","28/3/2020",NA,1143,NA,452,63,47
"IB","28/3/2020",NA,958,NA,344,71,29
"CN","28/3/2020",NA,1125,NA,425,78,39
"CB","28/3/2020",NA,1023,NA,449,40,26
"CM","28/3/2020",NA,5246,NA,3430,393,539
"CL","28/3/2020",NA,5414,NA,3160,261,380
"CT","28/3/2020",NA,15025,NA,8447,1080,904
"CE","28/3/2020",NA,21,NA,2,2,1
"VC","28/3/2020",NA,4784,NA,2773,375,267
"EX","28/3/2020",NA,1456,NA,467,67,100
"GA","28/3/2020",NA,3139,NA,1043,159,60
"MD","28/3/2020",NA,34189,NA,21311,2423,3082
"ML","28/3/2020",NA,48,NA,24,2,1
"MC","28/3/2020",NA,872,NA,260,58,20
"NC","28/3/2020",NA,2011,NA,896,90,84
"PV","28/3/2020",NA,5740,NA,3106,271,265
"RI","28/3/2020",NA,1629,NA,497,43,68
"AN","29/3/2020",NA,5398,NA,2671,216,236
"AR","29/3/2020",NA,2078,NA,1094,148,106
"AS","29/3/2020",NA,1206,NA,491,67,59
"IB","29/3/2020",NA,1000,NA,352,80,37
"CN","29/3/2020",NA,1204,NA,444,84,40
"CB","29/3/2020",NA,1100,NA,481,46,27
"CM","29/3/2020",NA,5858,NA,3698,403,622
"CL","29/3/2020",NA,5801,NA,3411,272,442
"CT","29/3/2020",NA,16104,NA,9126,1150,983
"CE","29/3/2020",NA,25,NA,2,2,1
"VC","29/3/2020",NA,5110,NA,2914,393,310
"EX","29/3/2020",NA,1560,NA,505,71,106
"GA","29/3/2020",NA,3723,NA,1147,176,66
"MD","29/3/2020",NA,35061,NA,23125,2464,3392
"ML","29/3/2020",NA,51,NA,27,3,1
"MC","29/3/2020",NA,939,NA,265,58,25
"NC","29/3/2020",NA,2146,NA,955,96,102
"PV","29/3/2020",NA,6057,NA,3427,293,297
"RI","29/3/2020",NA,1733,NA,517,43,71
"AN","30/3/2020",NA,5809,NA,2867,235,248
"AR","30/3/2020",NA,2272,NA,1176,157,138
"AS","30/3/2020",NA,1295,NA,529,71,66
"IB","30/3/2020",NA,1069,NA,398,85,42
"CN","30/3/2020",NA,1262,NA,483,94,55
"CB","30/3/2020",NA,1171,NA,522,50,37
"CM","30/3/2020",NA,6424,NA,4187,408,708
"CL","30/3/2020",NA,6211,NA,3629,294,516
"CT","30/3/2020",NA,18520,NA,9925,1218,1216
"CE","30/3/2020",NA,34,NA,3,3,1
"VC","30/3/2020",NA,5508,NA,3111,416,339
"EX","30/3/2020",NA,1628,NA,561,77,133
"GA","30/3/2020",NA,4039,NA,1250,189,84
"MD","30/3/2020",NA,37607,NA,23913,2554,3603
"ML","30/3/2020",NA,54,NA,27,3,1
"MC","30/3/2020",NA,974,NA,283,59,34
"NC","30/3/2020",NA,2305,NA,1035,99,113
"PV","30/3/2020",NA,6320,NA,3594,307,325
"RI","30/3/2020",NA,1810,NA,575,51,85
"AN","31/3/2020",NA,6379,NA,3147,260,308
"AR","31/3/2020",NA,2491,NA,1234,160,169
"AS","31/3/2020",NA,1367,NA,554,79,75
"IB","31/3/2020",NA,1131,NA,467,94,46
"CN","31/3/2020",NA,1380,NA,532,110,62
"CB","31/3/2020",NA,1213,NA,543,54,54
"CM","31/3/2020",NA,7047,NA,4590,417,774
"CL","31/3/2020",NA,6847,NA,3951,318,585
"CT","31/3/2020",NA,19991,NA,11446,1345,1458
"CE","31/3/2020",NA,51,NA,6,3,1
"VC","31/3/2020",NA,5922,NA,3253,434,395
"EX","31/3/2020",NA,1679,NA,600,82,152
"GA","31/3/2020",NA,4432,NA,1338,203,103
"MD","31/3/2020",NA,39409,NA,24553,2627,3865
"ML","31/3/2020",NA,62,NA,32,3,1
"MC","31/3/2020",NA,1041,NA,304,59,37
"NC","31/3/2020",NA,2497,NA,1120,104,130
"PV","31/3/2020",NA,6838,NA,3806,324,369
"RI","31/3/2020",NA,1960,NA,619,54,90
"AN","1/4/2020",NA,6957,NA,3444,280,343
"AR","1/4/2020",NA,2700,NA,1320,170,200
"AS","1/4/2020",NA,1435,NA,602,84,76
"IB","1/4/2020",NA,1204,NA,516,104,58
"CN","1/4/2020",NA,1444,NA,566,113,68
"CB","1/4/2020",NA,1268,NA,567,57,60
"CM","1/4/2020",NA,7682,NA,4982,424,854
"CL","1/4/2020",NA,7355,NA,4207,332,641
"CT","1/4/2020",NA,21804,NA,12398,1415,1629
"CE","1/4/2020",NA,55,NA,7,3,1
"VC","1/4/2020",NA,6308,NA,3389,449,443
"EX","1/4/2020",NA,1837,NA,649,83,181
"GA","1/4/2020",NA,4842,NA,1447,212,120
"MD","1/4/2020",NA,41199,NA,26112,2694,4175
"ML","1/4/2020",NA,62,NA,32,3,1
"MC","1/4/2020",NA,1084,NA,389,68,42
"NC","1/4/2020",NA,2682,NA,1181,108,141
"PV","1/4/2020",NA,7317,NA,4087,344,412
"RI","1/4/2020",NA,2083,NA,660,57,101
"AN","2/4/2020",NA,7353,NA,3673,338,376
"AR","2/4/2020",NA,2889,NA,1431,172,224
"AS","2/4/2020",NA,1504,NA,634,88,80
"IB","2/4/2020",NA,1257,NA,586,111,69
"CN","2/4/2020",NA,1490,NA,605,120,73
"CB","2/4/2020",NA,1321,NA,592,59,64
"CM","2/4/2020",NA,8523,NA,5306,431,916
"CL","2/4/2020",NA,7875,NA,4472,342,723
"CT","2/4/2020",NA,23460,NA,13101,1482,1784
"CE","2/4/2020",NA,62,NA,8,3,1
"VC","2/4/2020",NA,6624,NA,3492,460,511
"EX","2/4/2020",NA,1893,NA,706,85,200
"GA","2/4/2020",NA,5219,NA,1630,219,138
"MD","2/4/2020",NA,43038,NA,27325,2764,4483
"ML","2/4/2020",NA,70,NA,34,3,2
"MC","2/4/2020",NA,1145,NA,405,72,46
"NC","2/4/2020",NA,2836,NA,1284,119,151
"PV","2/4/2020",NA,7827,NA,4283,363,444
"RI","2/4/2020",NA,2224,NA,738,64,109
"AN","3/4/2020",NA,7847,NA,3896,364,426
"AR","3/4/2020",NA,3078,NA,1505,182,251
"AS","3/4/2020",NA,1573,12,657,91,83
"IB","3/4/2020",NA,1271,NA,633,113,71
"CN","3/4/2020",NA,1564,NA,632,128,78
"CB","3/4/2020",NA,1384,NA,619,60,68
"CM","3/4/2020",NA,9324,NA,5556,437,989
"CL","3/4/2020",NA,8332,NA,4685,351,786
"CT","3/4/2020",NA,24734,NA,14251,1569,1928
"CE","3/4/2020",NA,73,NA,8,4,1
"VC","3/4/2020",NA,6901,NA,3560,470,571
"EX","3/4/2020",NA,1979,NA,747,88,208
"GA","3/4/2020",NA,5625,NA,1767,229,159
"MD","3/4/2020",NA,44779,NA,28420,2821,4723
"ML","3/4/2020",NA,79,NA,37,3,2
"MC","3/4/2020",NA,1188,NA,434,79,51
"NC","3/4/2020",NA,2972,NA,1341,120,171
"PV","3/4/2020",NA,8187,NA,4522,377,477
"RI","3/4/2020",NA,2405,NA,805,64,128
"AN","4/4/2020",NA,8279,NA,4107,474,470
"AR","4/4/2020",NA,3232,NA,1588,182,270
"AS","4/4/2020",NA,1627,13,674,93,87
"IB","4/4/2020",NA,1293,NA,663,119,75
"CN","4/4/2020",NA,1622,NA,644,129,80
"CB","4/4/2020",NA,1441,NA,639,62,68
"CM","4/4/2020",NA,10031,NA,5774,441,1055
"CL","4/4/2020",NA,8749,NA,4905,361,847
"CT","4/4/2020",NA,26032,NA,14798,1653,2053
"CE","4/4/2020",NA,83,NA,9,4,2
"VC","4/4/2020",NA,7184,NA,3620,478,613
"EX","4/4/2020",NA,2047,NA,768,91,218
"GA","4/4/2020",NA,5944,NA,1831,237,174
"MD","4/4/2020",NA,45671,NA,29542,2854,4941
"ML","4/4/2020",NA,83,NA,38,3,2
"MC","4/4/2020",NA,1235,NA,447,80,59
"NC","4/4/2020",NA,3073,NA,1399,123,178
"PV","4/4/2020",NA,8628,NA,4666,404,515
"RI","4/4/2020",NA,2592,NA,855,66,134
"AN","5/4/2020",NA,8559,NA,4227,489,491
"AR","5/4/2020",NA,3347,NA,1637,186,284
"AS","5/4/2020",NA,1681,14,695,94,93
"IB","5/4/2020",NA,1320,NA,681,120,81
"CN","5/4/2020",NA,1649,NA,651,133,85
"CB","5/4/2020",NA,1483,NA,658,65,77
"CM","5/4/2020",NA,10602,NA,5967,445,1132
"CL","5/4/2020",NA,9116,NA,5041,368,919
"CT","5/4/2020",NA,26824,NA,15258,1685,2167
"CE","5/4/2020",NA,83,NA,9,4,3
"VC","5/4/2020",NA,7334,NA,3668,487,637
"EX","5/4/2020",NA,2068,NA,808,93,228
"GA","5/4/2020",NA,6151,NA,1916,245,190
"MD","5/4/2020",NA,46197,NA,30490,2879,5136
"ML","5/4/2020",NA,86,NA,38,3,2
"MC","5/4/2020",NA,1259,NA,468,81,68
"NC","5/4/2020",NA,3231,NA,1432,124,187
"PV","5/4/2020",NA,8810,NA,4794,410,548
"RI","5/4/2020",NA,2719,NA,888,66,141
"AN","6/4/2020",NA,8743,NA,4335,499,528
"AR","6/4/2020",NA,3449,NA,1663,196,312
"AS","6/4/2020",NA,1702,16,727,96,101
"IB","6/4/2020",NA,1369,NA,703,123,84
"CN","6/4/2020",NA,1725,NA,689,137,89
"CB","6/4/2020",NA,1501,NA,677,66,85
"CM","6/4/2020",NA,11077,NA,6203,451,1177
"CL","6/4/2020",NA,9581,NA,5180,375,982
"CT","6/4/2020",NA,28323,NA,15643,1740,2329
"CE","6/4/2020",NA,83,NA,9,4,4
"VC","6/4/2020",NA,7443,NA,3698,492,672
"EX","6/4/2020",NA,2116,NA,817,96,258
"GA","6/4/2020",NA,6331,NA,1968,253,204
"MD","6/4/2020",NA,47763,NA,31109,2958,5371
"ML","6/4/2020",NA,92,NA,40,3,2
"MC","6/4/2020",NA,1259,4,500,84,78
"NC","6/4/2020",NA,3355,NA,1488,124,202
"PV","6/4/2020",NA,8974,47,4856,417,586
"RI","6/4/2020",NA,2846,NA,918,66,160
"AN","7/4/2020",NA,8973,NA,4463,520,605
"AR","7/4/2020",NA,3549,NA,1716,204,349
"AS","7/4/2020",NA,1729,22,747,97,107
"IB","7/4/2020",NA,1412,NA,729,128,89
"CN","7/4/2020",NA,1762,NA,703,138,91
"CB","7/4/2020",NA,1572,NA,700,69,92
"CM","7/4/2020",NA,11788,NA,6449,454,1255
"CL","7/4/2020",NA,10058,NA,5322,386,1028
"CT","7/4/2020",NA,29647,NA,16235,1829,2462
"CE","7/4/2020",NA,84,NA,9,4,4
"VC","7/4/2020",NA,7655,NA,3713,496,724
"EX","7/4/2020",NA,2184,NA,852,98,271
"GA","7/4/2020",NA,6538,NA,2014,256,213
"MD","7/4/2020",NA,49160,NA,31554,3002,5586
"ML","7/4/2020",NA,93,NA,40,3,2
"MC","7/4/2020",NA,1297,8,515,86,85
"NC","7/4/2020",NA,3467,NA,1526,124,206
"PV","7/4/2020",NA,9392,60,4982,430,635
"RI","7/4/2020",NA,2951,NA,955,68,177
"AN","8/4/2020",NA,9234,NA,4599,538,652
"AR","8/4/2020",NA,3685,NA,1765,210,385
"AS","8/4/2020",NA,1774,57,775,100,113
"IB","8/4/2020",NA,1448,NA,749,131,89
"CN","8/4/2020",NA,1834,NA,730,140,92
"CB","8/4/2020",NA,1619,NA,720,71,98
"CM","8/4/2020",NA,12489,NA,6622,460,1322
"CL","8/4/2020",NA,10518,NA,5523,399,1082
"CT","8/4/2020",NA,31043,NA,16970,1946,2667
"CE","8/4/2020",NA,84,NA,9,4,4
"VC","8/4/2020",NA,7964,NA,3815,541,767
"EX","8/4/2020",NA,2273,NA,958,99,283
"GA","8/4/2020",NA,6758,NA,2094,260,231
"MD","8/4/2020",NA,50580,NA,32487,3038,5800
"ML","8/4/2020",NA,93,NA,40,3,2
"MC","8/4/2020",NA,1322,18,533,87,88
"NC","8/4/2020",NA,3575,NA,1526,124,214
"PV","8/4/2020",NA,9740,66,5130,433,689
"RI","8/4/2020",NA,3026,NA,997,69,182
"AN","9/4/2020",NA,9482,NA,4715,582,691
"AR","9/4/2020",NA,3831,NA,1822,212,409
"AS","9/4/2020",NA,1822,67,797,100,129
"IB","9/4/2020",NA,1488,NA,775,135,97
"CN","9/4/2020",NA,1858,NA,738,141,94
"CB","9/4/2020",NA,1659,NA,747,73,102
"CM","9/4/2020",NA,13063,NA,6803,466,1431
"CL","9/4/2020",NA,11102,NA,5674,407,1129
"CT","9/4/2020",NA,31824,NA,17780,1966,2787
"CE","9/4/2020",NA,91,NA,9,4,4
"VC","9/4/2020",NA,8331,NA,3987,561,796
"EX","9/4/2020",NA,2332,NA,1003,101,288
"GA","9/4/2020",NA,6946,NA,2165,263,243
"MD","9/4/2020",NA,51535,NA,33278,3061,5972
"ML","9/4/2020",NA,95,NA,41,3,2
"MC","9/4/2020",NA,1338,29,533,88,90
"NC","9/4/2020",NA,3748,NA,1620,124,218
"PV","9/4/2020",NA,9992,111,5290,442,729
"RI","9/4/2020",NA,3076,NA,1047,71,196
"AN","10/4/2020",NA,9682,NA,4808,602,737
"AR","10/4/2020",NA,3969,29,1860,215,425
"AS","10/4/2020",NA,1865,78,831,101,134
"IB","10/4/2020",NA,1507,NA,776,136,102
"CN","10/4/2020",NA,1887,NA,745,144,95
"CB","10/4/2020",NA,1719,NA,773,75,107
"CM","10/4/2020",NA,13456,NA,6907,470,1483
"CL","10/4/2020",NA,11543,NA,5817,414,1180
"CT","10/4/2020",NA,32984,NA,18194,1989,2877
"CE","10/4/2020",NA,93,NA,9,4,4
"VC","10/4/2020",NA,8578,NA,4132,565,818
"EX","10/4/2020",NA,2486,NA,1052,104,303
"GA","10/4/2020",NA,7176,NA,2215,264,261
"MD","10/4/2020",NA,52400,NA,33986,3091,6084
"ML","10/4/2020",NA,98,NA,43,3,2
"MC","10/4/2020",NA,1371,33,533,88,94
"NC","10/4/2020",NA,3817,NA,1641,124,227
"PV","10/4/2020",NA,10313,202,5402,453,765
"RI","10/4/2020",NA,3223,273,1082,73,207
"AN","11/4/2020",NA,9976,NA,4950,619,799
"AR","11/4/2020",NA,4070,55,1901,221,450
"AS","11/4/2020",NA,1949,81,863,102,150
"IB","11/4/2020",NA,1534,NA,803,141,112
"CN","11/4/2020",NA,1918,NA,758,144,95
"CB","11/4/2020",NA,1752,NA,805,75,110
"CM","11/4/2020",NA,13698,NA,7040,473,1543
"CL","11/4/2020",NA,12118,NA,5957,418,1221
"CT","11/4/2020",NA,34027,NA,18772,2018,2975
"CE","11/4/2020",NA,93,NA,9,4,4
"VC","11/4/2020",NA,8841,NA,4149,567,838
"EX","11/4/2020",NA,2580,NA,1074,106,312
"GA","11/4/2020",NA,7336,NA,2306,267,274
"MD","11/4/2020",NA,52944,NA,34545,3105,6278
"ML","11/4/2020",NA,98,NA,43,3,2
"MC","11/4/2020",NA,1380,56,537,91,97
"NC","11/4/2020",NA,3969,NA,1663,124,232
"PV","11/4/2020",NA,10514,258,5547,459,804
"RI","11/4/2020",NA,3279,317,1122,73,219
"AN","12/4/2020",NA,10062,NA,4993,621,815
"AR","12/4/2020",NA,4187,61,1938,223,464
"AS","12/4/2020",NA,2001,83,884,105,157
"IB","12/4/2020",NA,1550,NA,809,142,117
"CN","12/4/2020",NA,1944,NA,763,145,96
"CB","12/4/2020",NA,1777,NA,827,75,117
"CM","12/4/2020",NA,14054,NA,7782,475,1626
"CL","12/4/2020",NA,12628,NA,6077,423,1263
"CT","12/4/2020",NA,34726,NA,18963,2084,3105
"CE","12/4/2020",NA,95,NA,9,4,4
"VC","12/4/2020",NA,9060,NA,4269,576,876
"EX","12/4/2020",NA,2658,NA,1096,107,321
"GA","12/4/2020",NA,7494,NA,2344,275,284
"MD","12/4/2020",NA,53285,NA,35053,3122,6423
"ML","12/4/2020",NA,101,NA,43,3,2
"MC","12/4/2020",NA,1387,65,543,94,101
"NC","12/4/2020",NA,4092,NA,1693,124,239
"PV","12/4/2020",NA,10674,344,5622,464,831
"RI","12/4/2020",NA,3358,317,1141,73,223
"AN","13/4/2020",NA,10169,114,5054,631,836
"AR","13/4/2020",NA,4245,87,1966,229,492
"AS","13/4/2020",NA,2030,89,902,109,165
"IB","13/4/2020",NA,1571,NA,824,144,118
"CN","13/4/2020",NA,1958,NA,771,147,102
"CB","13/4/2020",NA,1796,NA,853,76,120
"CM","13/4/2020",NA,14329,NA,7830,486,1714
"CL","13/4/2020",NA,13180,NA,6175,432,1299
"CT","13/4/2020",NA,35197,NA,19224,2102,3201
"CE","13/4/2020",NA,96,NA,9,4,4
"VC","13/4/2020",NA,9213,NA,4397,581,907
"EX","13/4/2020",NA,2684,NA,1114,107,334
"GA","13/4/2020",NA,7597,NA,2403,280,290
"MD","13/4/2020",NA,54287,NA,35400,3153,6568
"ML","13/4/2020",NA,101,NA,43,3,2
"MC","13/4/2020",NA,1393,86,566,96,106
"NC","13/4/2020",NA,4150,NA,1705,124,249
"PV","13/4/2020",NA,10845,381,5679,470,859
"RI","13/4/2020",NA,3420,329,1152,74,234
"AN","14/4/2020",NA,10392,169,5147,665,865
"AR","14/4/2020",NA,4338,112,2006,231,514
"AS","14/4/2020",NA,2089,105,914,111,172
"IB","14/4/2020",NA,1605,NA,854,147,125
"CN","14/4/2020",NA,1975,NA,781,152,104
"CB","14/4/2020",NA,1823,NA,873,76,132
"CM","14/4/2020",NA,14680,NA,7896,495,1755
"CL","14/4/2020",NA,13697,NA,6306,440,1337
"CT","14/4/2020",NA,36505,NA,20264,2189,3453
"CE","14/4/2020",NA,98,NA,9,4,4
"VC","14/4/2020",NA,9424,NA,4465,588,945
"EX","14/4/2020",NA,2762,NA,1155,107,342
"GA","14/4/2020",NA,7708,NA,2471,282,299
"MD","14/4/2020",NA,55398,NA,35688,3180,6724
"ML","14/4/2020",NA,102,NA,43,3,2
"MC","14/4/2020",NA,1400,128,574,97,109
"NC","14/4/2020",NA,4246,NA,1731,124,252
"PV","14/4/2020",NA,11014,461,5750,471,902
"RI","14/4/2020",NA,3457,374,1182,75,246
"AN","15/4/2020",NA,10557,216,5226,671,912
"AR","15/4/2020",NA,4411,155,2108,235,543
